node1,node2,free_bw,used_bw,delay,pkloss
1,3,99999.807461,192.46194,0.459194,0.0
1,7,99999.807422,192.481251,0.202417,0.0
1,16,99999.807422,192.481251,0.42665,0.0
2,4,99999.807403,192.587392,2.009273,0.0
2,7,99999.807403,192.587392,1.162171,0.0
2,12,99999.807403,192.597051,1.370668,0.0
2,13,99999.807403,192.587392,1.690626,0.0
2,18,24999.807403,192.597051,1.547933,0.0
2,23,24999.807403,192.597051,0.093937,0.0
3,10,99999.807461,192.53911,1.670837,0.0
3,11,24999.855567,144.368168,2.786636,0.0
3,14,1549.807442,192.548764,0.922799,0.0
3,21,99999.855567,144.368168,0.675082,0.0
4,16,99999.807403,192.587392,0.1297,0.0
5,8,24999.855552,144.433301,24.201751,0.0
5,16,24999.807403,192.587392,3.749371,0.0
6,7,1549.80719,192.693767,0.366926,0.0
6,19,1549.80719,192.68411,10.600209,0.0
7,17,99999.807403,192.597051,0.727534,0.0
7,19,24999.807422,192.568076,0.793099,0.0
7,21,99999.807422,192.577733,0.58198,0.0
8,9,24999.807403,192.577735,0.0,0.0
9,15,24999.807403,192.587392,0.287175,0.0
9,16,99999.807422,192.577733,0.0,0.0
10,11,24999.807422,192.568076,2.117634,0.0
10,12,99999.807403,192.56808,2.450824,0.0
10,16,99999.807442,192.548764,1.038551,0.0
10,17,99999.807384,192.568088,0.696659,0.0
12,22,99999.807403,192.597051,1.882076,0.0
13,14,1549.807422,192.568076,0.258446,0.0
13,17,99999.807403,192.587392,2.048612,0.0
13,19,24999.807422,192.568076,0.341058,0.0
15,20,24999.807403,192.597051,1.209736,0.0
17,20,99999.807384,192.606712,0.976682,0.0
17,23,24999.807403,192.597051,1.603723,0.0
18,21,24999.807403,192.587392,2.151012,0.0
20,22,24999.807403,192.587392,3.149867,0.0
